74414746,163405,DB Incline Bench Press,3975,42,"43,549.00"
75027959,163127,Palloff Press,2400,60,"43,552.00"
74677412,163388,Landmine Anti-Rotations,2640,48,"43,550.00"
75326247,363935,Cable Scap Retractions,1800,30,"43,557.00"
75124831,163663,MedBall Chest Pass,240,12,"43,553.00"
75027913,163398,Wide Grip Seated Cable Row,5120,24,"43,552.00"
75124817,163398,Rope Curls,1680,24,"43,553.00"
75596911,163674,Physioball DeadBugs,0,30,"43,571.00"
74678290,368725,Seated DB Hold,13000,200,"43,550.00"
75326246,363937,Shoulder 30's,600,30,"43,557.00"
75124829,363926,MedBall Squat Jump,240,12,"43,553.00"
75326244,163670,Split Stance Cable Punch,1440,24,"43,557.00"
65346219,368903,Seated Cable Row,6090,29,"43,559.00"
75606989,363935,DB Single Leg Romanian Deadlift,240,8,"43,556.00"
65346240,163357,Straight leg situp,0,45,"43,563.00"
75124826,163397,Seated Leg Extentions,3540,12,"43,553.00"
76572309,163139,Hamstring Curl Machine,1200,8,"43,563.00"
75606990,363944,Wide Grip Pulldown Fat Grip,1720,8,"43,556.00"
75326247,163142,Cable Scap Retractions,2100,30,"43,557.00"
74677412,163357,Landmine Anti-Rotations,2112,48,"43,550.00"
65346203,363925,Barbell Close Grip Bench Press,5940,45,"43,556.00"
74677488,362371,Hanging Knee Ups,0,30,"43,550.00"
77527164,362371,Landmine Single-Arm Row,0,20,"43,570.00"
75124831,163397,MedBall Chest Pass,240,12,"43,553.00"
76572313,163656,Wide Grip Pulldown Fat Grip,1600,8,"43,563.00"
75326245,163658,Landmine Anti-Rotations,2016,48,"43,557.00"
75326260,163408,Seated Cable Row,4560,24,"43,559.00"
75326245,363940,Landmine Anti-Rotations,2112,48,"43,557.00"
74677348,163126,Seated Cable Row,4050,15,"43,550.00"
74677476,363932,Cable Scap Retractions,2300,30,"43,550.00"
75326231,163397,Barbell Bench Press,8734,33,"43,556.00"
74677348,363932,Seated Cable Row,3375,15,"43,550.00"
75326263,163405,Ab Wheel Rollouts,0,24,"43,559.00"
75124826,163666,Seated Leg Extentions,1320,12,"43,553.00"
65346191,368725,DB Bench Press,2850,30,"43,553.00"
65346284,163665,V-Sit up,0,30,"43,571.00"
76572315,163364,Reverse Crunch,0,24,"43,563.00"
74677448,363926,Shoulder 30's,600,30,"43,550.00"
76817325,163666,DB Close Grip Bench,1560,24,"43,564.00"
74677476,368903,Cable Scap Retractions,1800,30,"43,550.00"
77572825,369095,Pull-Ups,0,28,"43,570.00"
75124828,363921,Single-Arm Landmine Rotational Press,792,24,"43,553.00"
75027959,163357,Palloff Press,3600,60,"43,552.00"
75326243,163128,Heavy Chin-Ups,660,15,"43,557.00"
76572311,163657,DB Bench Press,700,8,"43,563.00"
75028648,163668,DB Rear Delt Fly,480,24,"43,552.00"
74677380,369635,Heavy Chin-Ups,330,15,"43,550.00"
76572313,363921,Wide Grip Pulldown Fat Grip,1520,8,"43,563.00"
75326246,402565,Shoulder 30's,450,30,"43,557.00"
70738462,363965,Reverse Plank,0,30,"43,553.00"
75124831,363966,MedBall Chest Pass,192,12,"43,553.00"
75124830,374334,MedBall Slam,192,12,"43,553.00"
75326243,368780,Heavy Chin-Ups,0,15,"43,557.00"
65346221,163357,Barbell Close Grip Bench Press,5819,36,"43,559.00"
75326230,163661,Barbell Back Squat,10670,34,"43,556.00"
75028648,163664,DB Rear Delt Fly,300,24,"43,552.00"
70738443,363939,Leg Lowers,0,48,"43,549.00"
75326260,163666,Seated Cable Row,5880,24,"43,559.00"
74677412,163674,Landmine Anti-Rotations,2160,48,"43,550.00"
76816793,163660,DB Goblet Squat,840,24,"43,564.00"
75326263,163388,Ab Wheel Rollouts,0,24,"43,559.00"
75596911,163357,Physioball DeadBugs,0,30,"43,571.00"
75326245,363932,Landmine Anti-Rotations,1584,48,"43,557.00"
76572315,363921,Reverse Crunch,0,24,"43,563.00"
65346277,163675,Lat Pull-Down,4900,20,"43,571.00"
75596908,163661,TIYW's,165,30,"43,571.00"
75596907,163666,Cable Split Squat Single Arm Rotating Row,1350,30,"43,571.00"
76572312,163658,DB Single Leg Romanian Deadlift,520,8,"43,563.00"
76572310,368903,Seated Cable Row,1960,8,"43,563.00"
75028200,163398,Reverse Lunge to Landmine Press,792,24,"43,552.00"
75326243,368961,Heavy Chin-Ups,825,15,"43,557.00"
74677408,169385,Kneeling Cable Punch,720,24,"43,550.00"
75124827,363921,Rack Power Shrugs,1536,12,"43,553.00"
70738455,163763,Straight Leg Sit Up,0,30,"43,552.00"
74677476,363937,Cable Scap Retractions,3000,30,"43,550.00"
75326243,163676,Heavy Chin-Ups,330,15,"43,557.00"
77706525,163358,DB Goblet Squat,600,24,"43,571.00"
75124826,163403,Hang Clean,1848,12,"43,553.00"
74677488,363935,Hanging Knee Ups,0,30,"43,550.00"
76676300,363934,Seated Cable Row,2200,8,"43,563.00"
74677348,163654,Seated Cable Row,3225,15,"43,550.00"
76818220,163664,Band Anti-Extension Crunch,0,24,"43,564.00"
75326249,163661,Ab Wheel Rollouts,0,30,"43,557.00"
74378721,163148,Physioball Hypers,0,90,"43,570.00"
75027890,163662,Pull-Ups,0,15,"43,552.00"
75326247,163666,Cable Scap Retractions,1800,30,"43,557.00"
65346201,363929,DB Incline Bench Press,4060,56,"43,556.00"
75028647,163380,Wide Grip Pulldown Fat Grip,2060,8,"43,552.00"
77527166,163656,TIYW's,100,20,"43,570.00"
75606990,363921,Wide Grip Pulldown Fat Grip,1520,8,"43,556.00"
75326242,163142,Seated Cable Row,4500,15,"43,557.00"
65346275,363939,Straight leg situp,0,45,"43,570.00"
74677448,163405,Shoulder 30's,600,30,"43,550.00"
65346236,363939,DB Incline Bench Press,4320,60,"43,563.00"
75326232,163138,Barbell Good Morning,3900,40,"43,556.00"
65346286,163670,Bent Knee Ankle Touches,0,120,"43,571.00"
76142447,363925,Seated Leg Extentions,2625,15,"43,559.00"
74415214,163128,Landmine Press,2154,24,"43,549.00"
75124846,402566,Physioball V-Sit Rotations,0,30,"43,553.00"
75596911,369635,Physioball DeadBugs,0,30,"43,571.00"
77526620,363924,Pull-Ups,0,6,"43,570.00"
74677408,163657,Kneeling Cable Punch,960,24,"43,550.00"
75326230,163138,Pit Shark Squat,21740,34,"43,556.00"
75596909,363926,DB Seated Hold,11700,180,"43,571.00"
75596910,169385,Front Plank,0,180,"43,571.00"
65346171,363925,Leg Lowers,0,24,"43,549.00"
76572309,363930,Barbell Back Squat,2432,8,"43,563.00"
75326248,163358,Hanging Knee Ups,0,30,"43,557.00"
75326243,163127,Heavy Chin-Ups,1010,15,"43,557.00"
76572312,369095,DB Single Leg Romanian Deadlift,280,8,"43,563.00"
74398125,163669,DB Romanian Deadlift,1602,24,"43,549.00"
70738461,363965,Cable Punch,2000,30,"43,553.00"
65346197,363925,V-Sit up,0,30,"43,553.00"
75326231,163670,Barbell Bench Press,9298,34,"43,556.00"
75326262,163661,Physioball Windshield Wipers,0,24,"43,559.00"
77543938,363934,Physioball Pot Stirs,0,40,"43,570.00"
70738525,163355,Lat Pull-Down,5100,30,"43,571.00"
75124829,363930,MedBall Squat Jump,240,12,"43,553.00"
75326262,163128,Physioball Windshield Wipers,0,24,"43,559.00"
70738475,363965,Reverse Plank,0,30,"43,557.00"
76818236,368780,Palloff Press,1920,48,"43,564.00"
75124829,163174,MedBall Squat Jump,240,12,"43,553.00"
74414746,163380,Barbell Close Grip Incline Bench Press,6812,42,"43,549.00"
75596906,363938,Chest Supported Row,1560,24,"43,571.00"
65346238,363925,Barbell Close Grip Bench Press,5940,45,"43,563.00"
75606991,363935,DB Rear Delt Fly,300,24,"43,556.00"
75606987,163672,Seated Cable Row,2200,8,"43,556.00"
77543938,163666,Physioball Pot Stirs,0,40,"43,570.00"
70738458,163763,Single Leg RDL,660,20,"43,553.00"
75326249,163128,Ab Wheel Rollouts,0,30,"43,557.00"
75326243,163661,Heavy Chin-Ups,286,13,"43,557.00"
77706530,163664,PVC Wrestle,0,24,"43,571.00"
74398020,163174,Barbell Bench Press,7458,38,"43,549.00"
65346197,363935,V-Sit up,0,30,"43,553.00"
75028646,163403,DB Romanian Deadlift,580,8,"43,552.00"
76572315,163668,Reverse Crunch,0,24,"43,563.00"
65346285,163396,Reverse Hypers,0,90,"43,571.00"
70738496,163763,Hypers,0,180,"43,563.00"
75596911,363934,Physioball DeadBugs,0,30,"43,571.00"
75124828,163656,Single-Arm Landmine Rotational Press,1056,24,"43,553.00"
70738477,163355,DB Step-Ups,1800,30,"43,559.00"
74400185,402565,Barbell Bent Over Row,3978,24,"43,549.00"
75326263,163662,Ab Wheel Rollouts,0,24,"43,559.00"
77526620,163672,Pull-Ups,0,32,"43,570.00"
65346243,163669,DB Bench Press,2160,30,"43,564.00"
75027926,163665,DB Alternating Bench Press,1560,24,"43,552.00"
76817325,363935,DB Close Grip Bench,1200,24,"43,564.00"
75028629,363921,Front Squat Speed Squat,1575,15,"43,552.00"
74677348,374334,Seated Cable Row,3000,15,"43,550.00"
74677412,163672,Landmine Anti-Rotations,2112,48,"43,550.00"
74412671,163672,Barbell Bench Press,6167,27,"43,549.00"
76572305,163406,Hamstring Curl Machine,2775,24,"43,563.00"
65346250,163672,Reverse Hypers,0,90,"43,564.00"
76572312,163403,DB Single Leg Romanian Deadlift,520,8,"43,563.00"
65346205,163396,Straight leg situp,0,45,"43,556.00"
65346219,363925,Chest Supported Row,1725,30,"43,559.00"
75326245,163670,Landmine Anti-Rotations,1584,48,"43,557.00"
77527014,363942,Landmine Single-Arm Press,330,10,"43,570.00"
75028646,163406,DB Romanian Deadlift,460,8,"43,552.00"
74397991,163158,Barbell Back Squat,7886,36,"43,549.00"
76818236,163139,Palloff Press,1440,48,"43,564.00"
75028200,163662,Reverse Lunge to Landmine Press,792,24,"43,552.00"
70738441,363939,Cable Scap Retractions,2160,36,"43,549.00"
76818220,163659,Band Anti-Extension Crunch,0,24,"43,564.00"
65346173,163396,DB Bench Press,2850,30,"43,550.00"
77706528,362372,Wide Grip Pulldown Fat Grip,4320,24,"43,571.00"
65346241,163396,Leg Lowers,0,24,"43,563.00"
75326248,169385,Hanging Knee Ups,0,30,"43,557.00"
77527166,363926,TIYW's,100,20,"43,570.00"
75326263,363935,Ab Wheel Rollouts,0,24,"43,559.00"
75326250,163668,Heavy Chin-Ups,720,24,"43,557.00"
75326251,163659,Chest Supported Row,1560,24,"43,557.00"
74413374,163668,Pull-Ups,0,30,"43,549.00"
75124826,163676,Hang Clean,1584,12,"43,553.00"
75326271,163674,Seated Cable Row,644,2,"43,559.00"
70738520,363965,Deadbugs,0,60,"43,570.00"
75326262,362372,Physioball Windshield Wipers,0,24,"43,559.00"
65346242,363934,Lat Pull-Down,3950,20,"43,564.00"
75606991,368961,DB Rear Delt Fly,480,24,"43,556.00"
75124829,163139,MedBall Squat Jump,240,12,"43,553.00"
75326247,369635,Cable Scap Retractions,850,10,"43,557.00"
75326245,163666,Landmine Anti-Rotations,1584,48,"43,557.00"
70738453,163763,DB Bent Over Row,5184,72,"43,552.00"
75028644,163142,Seated Cable Row,2400,8,"43,552.00"
77526620,368780,Pull-Ups,0,10,"43,570.00"
74677476,361496,Cable Scap Retractions,3900,30,"43,550.00"
75606991,363930,DB Rear Delt Fly,660,24,"43,556.00"
75124829,374334,MedBall Squat Jump,192,12,"43,553.00"
77558646,163675,Seated Cable Row,3800,20,"43,570.00"
75027959,169385,Palloff Press,2400,60,"43,552.00"
76816793,369095,DB Goblet Squat,0,24,"43,564.00"
75124812,163405,Ab Wheel Rollouts,0,24,"43,553.00"
75326271,163126,Seated Cable Row,2200,8,"43,559.00"
75124809,163405,Seated Row,6000,24,"43,553.00"
70738476,363965,Leg Press,9500,10,"43,559.00"
76572309,362372,Pit Shark Squat,4720,8,"43,563.00"
75326258,163369,Barbell Back Squat,5544,24,"43,559.00"
75027926,163666,DB Alternating Bench Press,1320,24,"43,552.00"
74677380,363929,Heavy Chin-Ups,495,15,"43,550.00"
76572312,363944,DB Single Leg Romanian Deadlift,280,8,"43,563.00"
74678303,362372,Physioball DeadBugs,0,30,"43,550.00"
75606992,163151,Reverse Crunch,0,24,"43,556.00"
77558651,163675,Band Anti-Extension Crunch,0,20,"43,570.00"
70738463,163763,Leg Press,31200,50,"43,556.00"
74677380,163174,Heavy Chin-Ups,495,15,"43,550.00"
75326258,361496,Barbell Back Squat,5280,24,"43,559.00"
65346215,363925,Reverse Hypers,0,90,"43,557.00"
75606988,363935,DB Bench Press,580,8,"43,556.00"
75326233,163657,Pull-Ups,0,30,"43,556.00"
76817367,163126,Wide Grip Pulldown Fat Grip,4560,24,"43,564.00"
75028649,363930,Reverse Crunch,0,24,"43,552.00"
75596906,169385,Chest Supported Row,1200,24,"43,571.00"
75606990,362372,Wide Grip Pulldown Fat Grip,1920,8,"43,556.00"
76818220,163174,Band Anti-Extension Crunch,0,24,"43,564.00"
75326243,163405,Heavy Chin-Ups,0,15,"43,557.00"
77543938,163139,Physioball Pot Stirs,0,40,"43,570.00"
74677412,363966,Landmine Anti-Rotations,1584,48,"43,550.00"
75027913,163663,Wide Grip Seated Cable Row,6720,24,"43,552.00"
75326247,363934,Cable Scap Retractions,1500,30,"43,557.00"
75326275,169385,DB Rear Delt Fly,480,24,"43,559.00"
77706528,163358,Wide Grip Pulldown Fat Grip,3120,24,"43,571.00"
75028646,163128,DB Romanian Deadlift,580,8,"43,552.00"
77526470,163659,Barbell Incline Bench Press,2120,20,"43,570.00"
65346286,363925,Bent Knee Ankle Touches,0,120,"43,571.00"
76816793,163364,DB Goblet Squat,1056,24,"43,564.00"
75326249,163658,Ab Wheel Rollouts,0,30,"43,557.00"
74677380,368961,Heavy Chin-Ups,550,15,"43,550.00"
74677488,163676,Hanging Knee Ups,0,10,"43,550.00"
76572311,163403,DB Bench Press,1016,8,"43,563.00"
75326260,163659,Seated Cable Row,4800,24,"43,559.00"
75596908,169385,TIYW's,150,30,"43,571.00"
74677380,163666,Heavy Chin-Ups,550,15,"43,550.00"
74677412,363926,Landmine Anti-Rotations,2112,48,"43,550.00"
77706525,362371,DB Goblet Squat,660,24,"43,571.00"
65346272,363939,Seated Cable Row,6600,30,"43,570.00"
75027963,163388,Single-Leg Deadlift,840,24,"43,552.00"
75606992,163373,Reverse Crunch,0,24,"43,556.00"
65346242,374334,Lat Pull-Down,2800,20,"43,564.00"
75124829,361496,MedBall Squat Jump,240,12,"43,553.00"
74677380,363934,Heavy Chin-Ups,660,15,"43,550.00"
75326260,163661,Seated Cable Row,3840,24,"43,559.00"
75596911,163662,Physioball DeadBugs,0,30,"43,571.00"
65346209,163369,TIYW's,300,60,"43,557.00"
77706530,163669,PVC Wrestle,0,24,"43,571.00"
75326232,363937,Barbell Good Morning,3630,40,"43,556.00"
76818236,163126,Palloff Press,2400,48,"43,564.00"
75326245,163174,Landmine Anti-Rotations,1584,48,"43,557.00"
75326261,163654,Lat Pull-Down,3840,24,"43,559.00"
75326242,163676,Seated Cable Row,4350,15,"43,557.00"
74413107,163408,Barbell Good Morning,3590,40,"43,549.00"
75326246,163142,Shoulder 30's,600,30,"43,557.00"
75028324,163663,Physioball V-Sit Rotations,0,30,"43,552.00"
74413107,363942,Hamstring Curl,3000,30,"43,549.00"
74677488,163664,Hanging Knee Ups,0,30,"43,550.00"
76572311,163656,DB Bench Press,580,8,"43,563.00"
77706526,362372,DB Close Grip Bench,840,24,"43,571.00"
65346186,368725,Barbell Close Grip Bench Press,5458,37,"43,552.00"
74677412,363929,Landmine Anti-Rotations,2112,48,"43,550.00"
65346173,163675,DB Bench Press,2625,30,"43,550.00"
75326242,163666,Seated Cable Row,4050,15,"43,557.00"
70738519,163355,Cable Scap Retractions,4680,36,"43,570.00"
75124831,361496,MedBall Chest Pass,240,12,"43,553.00"
65346239,163369,Off Bench Obliques,0,180,"43,563.00"
74414751,163405,Hamstring Curl Machine,5340,24,"43,549.00"
74677380,163138,Heavy Chin-Ups,770,15,"43,550.00"
77527164,363942,Landmine Fat Grip Single-Arm Row,660,20,"43,570.00"
74378558,163148,Barbell Bench Press,4395,15,"43,557.00"
75606986,363921,Barbell Back Squat,4120,8,"43,556.00"
65346185,368725,Cable Face-Pulls,2850,30,"43,552.00"
76572311,362372,DB Bench Press,640,8,"43,563.00"
77706525,163380,DB Goblet Squat,840,24,"43,571.00"
75606989,163380,DB Single Leg Romanian Deadlift,520,8,"43,556.00"
65346272,163652,Seated Cable Row,5200,30,"43,570.00"
75326245,163397,Landmine Anti-Rotations,0,48,"43,557.00"
75124808,163408,Barbell Incline Bench Press,2808,24,"43,553.00"
75124830,163660,MedBall Slam,240,12,"43,553.00"
77572827,369095,Landmine Single-Arm Press,660,20,"43,570.00"
77526620,163656,Pull-Ups,0,18,"43,570.00"
74678300,368725,Front Plank,0,180,"43,550.00"
75028649,163364,Reverse Crunch,0,24,"43,552.00"
76817325,163158,DB Close Grip Bench,1740,24,"43,564.00"
75124831,163158,MedBall Chest Pass,240,12,"43,553.00"
65346220,163669,Cable Face-Pulls,1800,30,"43,559.00"
70738494,163151,Deadbugs,0,60,"43,563.00"
76817325,163664,DB Close Grip Bench,1200,24,"43,564.00"
74415221,163358,Chest Supported Row,1560,24,"43,549.00"
75028646,363926,DB Romanian Deadlift,580,8,"43,552.00"
75596908,163660,TIYW's,150,30,"43,571.00"
75606988,163139,DB Bench Press,655,8,"43,556.00"
74677492,163357,Ab Wheel Rollouts,0,30,"43,550.00"
75028648,163656,DB Rear Delt Fly,660,24,"43,552.00"
75326260,163127,Seated Cable Row,4560,24,"43,559.00"
76818220,163373,Band Anti-Extension Crunch,0,24,"43,564.00"
76443371,363966,DB Incline Bench Press,2030,28,"43,564.00"
75596908,163676,TIYW's,150,30,"43,571.00"
75326261,163138,Lat Pull-Down,4440,24,"43,559.00"
75596909,163660,DB Seated Hold,0,0,"43,571.00"
75596909,363938,DB Seated Hold,11570,178,"43,571.00"
75028631,163126,Seated Cable Row,2800,10,"43,552.00"
77527014,363921,Landmine Single-Arm Press,900,20,"43,570.00"
75124817,163388,Rope Curls,1600,24,"43,553.00"
74677802,163663,Lat Pull-Down,5040,24,"43,550.00"
65346191,163357,DB Bench Press,3075,30,"43,553.00"
65346183,368725,DB Incline Bench Press,4290,54,"43,552.00"
75326258,163666,Barbell Back Squat,4656,24,"43,559.00"
74414751,163654,Hamstring Curl Machine,3510,24,"43,549.00"
74677488,163406,Hanging Knee Ups,0,30,"43,550.00"
74378725,163148,Cable Face-Pulls,2960,32,"43,571.00"
76572315,163656,Reverse Crunch,0,24,"43,563.00"
65346186,163659,Barbell Close Grip Bench Press,4246,36,"43,552.00"
75596905,368903,Heavy Chin-Ups,528,24,"43,571.00"
65346284,163652,Physioball Plank Row,0,30,"43,571.00"
70738501,163658,Cat-Camel,0,30,"43,564.00"
77527180,163373,Band Anti-Extension Crunch,0,20,"43,570.00"
74677488,163373,Hanging Knee Ups,0,30,"43,550.00"
