75124826,163662,133
75596910,163657,60
65346224,363939,8
75606987,163358,229
75606992,163373,12
77706530,163408,0
74677348,363937,327
77527164,163659,0
65346273,368725,0
74677348,163670,350
76572313,369635,203
65346184,363929,293
74412671,163672,288
74677408,368961,63
76572312,361496,53
77526620,163128,0
75326262,163380,0
70738449,163355,0
76572312,369095,37
76572314,368780,28
74677448,363929,17
75326263,163388,12
65346224,368903,8
77527164,363930,97
75606988,363926,109
74677380,163398,55
75596910,163128,60
77527180,363921,10
75596910,374334,60
75028643,163664,340
76817367,368725,238
75606987,363930,332
75606988,163142,118
74677448,163670,27
74677408,163380,63
65346276,368725,8
75027926,163373,92
77543938,163364,10
77526626,368780,260
74414762,368780,407
65346273,163652,63
74677488,368903,10
74677412,163657,42
75326248,163406,10
75326261,163659,0
75124831,163174,20
76572309,363929,293
76818220,368780,12
74414762,163654,267
77706530,362371,0
77527180,163659,10
75326262,163405,0
74414523,163380,
75326243,361496,33
65346215,163369,0
74677448,163142,27
75028648,163403,60
75124827,163128,150
76816793,163656,60
74413107,361496,127
65346286,363939,20
75326275,363924,28
65346200,363929,293
75028644,163139,299
75124830,163380,20
75326244,368961,63
75028646,163676,61
75326242,363935,280
75326258,163668,0
74413107,363937,132
75326259,163661,185
65346172,163396,233
75124826,363930,112
75326230,402565,404
76572293,368961,60
65346204,163675,0
75124827,363930,175
70738495,163151,0
77527164,368780,0
77527180,362372,10
65346221,163652,64
75326243,169385,22
74678211,362372,40
65346183,368725,124
70738489,163763,0
76817367,163358,175
65346173,163675,102
77706526,163656,49
75124827,163403,232
74414523,163656,800
76572314,163658,60
70738491,163151,0
65346275,163665,0
75124826,169385,125
65346172,163675,280
75028633,163126,101
75124828,363926,50
74414523,163139,773
75606987,163373,343
74677380,163676,22
74677380,363938,22
75326250,163664,0
65346242,363937,
65346276,163396,8
76572312,163664,53
75326256,163373,10
75124828,369635,23
75326245,163358,42
75596907,169385,67
65346198,363925,0
75606992,402566,12
75124807,163126,0
74414746,163657,232
77527166,163660,7
74397991,362371,376
74677348,363934,303
76818220,163128,12
65346237,163672,320
74413107,163664,67
75027963,163138,63
75606990,163408,229
65346223,374334,0
76572310,163665,229
76572309,361496,383
75606986,163660,211
76817325,163174,81
70738456,163763,
75326270,363944,313
76818236,363929,42
74677348,363940,268
75326251,163158,82
74413448,163668,63
76817325,163128,60
74400185,169385,185
74677412,163151,
65346192,368961,47
70738438,363965,0
65346191,363925,102
65346219,374334,200
75606991,402566,28
75596907,363938,80
75326244,163139,51
